Genomes	Genes	Class
1	951	Core
1	951	Pan
1	754	Core
1	754	Pan
1	755	Core
1	755	Pan
1	875	Core
1	875	Pan
1	943	Core
1	943	Pan
2	605	Core
2	1100	Pan
2	596	Core
2	1110	Pan
2	589	Core
2	920	Pan
2	614	Core
2	1212	Pan
2	553	Core
2	1076	Pan
2	569	Core
2	1061	Pan
2	595	Core
2	1299	Pan
2	545	Core
2	1152	Pan
2	549	Core
2	1149	Pan
2	557	Core
2	1261	Pan
3	506	Core
3	1176	Pan
3	490	Core
3	1298	Pan
3	496	Core
3	1298	Pan
3	494	Core
3	1167	Pan
3	480	Core
3	1383	Pan
3	482	Core
3	1391	Pan
3	478	Core
3	1247	Pan
3	491	Core
3	1494	Pan
3	461	Core
3	1378	Pan
3	466	Core
3	1364	Pan
4	441	Core
4	1354	Pan
4	431	Core
4	1439	Pan
4	421	Core
4	1555	Pan
4	423	Core
4	1556	Pan
4	426	Core
4	1438	Pan
5	391	Core
5	1599	Pan
