ChrID	Start	End	CM334	Chiltepin	ECW	SF	Zunla
chr01	2592068	2610547	5	3	1	0	3
chr01	3740665	3754558	1	1	1	1	1
chr01	7984630	8027432	1	1	1	1	1
chr01	10746925	10761620	1	1	1	1	1
chr01	18200345	18222285	2	0	1	1	0
chr01	18360660	18375995	1	1	0	1	0
chr01	23598881	23724120	1	0	1	1	0
chr01	25455638	25470000	1	1	1	1	1
chr01	25643147	25664707	1	1	1	1	1
chr01	25785728	25805539	1	2	0	1	1
chr01	25929837	26044638	2	3	2	2	2
chr01	27972340	27979751	0	1	0	0	0
chr01	55085040	55116860	2	2	2	3	3
chr01	56328093	56336383	1	1	1	1	1
chr01	59785565	59786722	1	0	0	0	0
chr01	63808231	63829895	1	1	1	1	1
chr01	68386043	68425646	2	1	2	2	1
chr01	74670672	74700085	1	1	1	1	1
chr01	82290104	82321691	1	1	1	1	1
chr01	85630605	85653966	1	1	2	1	1
chr01	168844786	168864404	1	1	1	1	1
chr01	180483357	180517049	1	1	1	1	1
chr01	186119731	186175804	1	0	1	1	1
chr01	186306987	186314512	0	1	1	1	0
chr01	189240169	189248915	1	1	1	1	1
chr01	189782912	189784396	1	0	0	0	0
chr01	193294215	193339014	0	1	1	1	2
chr01	196156528	196161523	0	1	0	0	0
chr01	197033709	197044585	1	1	0	1	1
chr01	197559172	197593344	1	0	0	0	1
chr01	207349708	207408533	1	1	1	1	1
chr01	207734979	207779863	1	1	1	2	1
chr01	212090518	212135772	1	0	2	2	0
chr01	217670567	217710127	1	1	1	1	1
chr01	232499500	232535735	1	1	1	1	1
chr01	252153142	252161301	1	1	1	1	1
chr01	273011918	273021417	1	1	1	1	1
chr01	289711472	289781132	1	1	1	1	1
chr01	291724240	291844082	0	0	1	1	0
chr01	292507293	292580344	2	2	2	2	3
chr01	295620151	295686604	1	1	1	1	1
chr01	295797386	295940897	3	3	2	2	3
chr01	296511512	296533296	1	1	1	1	0
chr01	301184992	301365460	5	6	6	7	4
chr01	301418392	301520583	3	2	3	3	2
chr01	301684650	301746426	1	1	1	1	1
chr01	301800334	301843309	1	1	1	1	1
chr01	304752987	304842292	2	2	2	2	2
chr01	308672406	308689972	2	1	1	1	2
chr01	308756839	309042759	8	7	8	7	8
chr02	12056896	12081170	1	0	1	1	1
chr02	48683965	48699066	3	1	0	0	1
chr02	75645563	75731704	1	1	1	1	1
chr02	77955071	77989203	1	1	1	1	1
chr02	130799386	130892784	3	3	3	3	2
chr02	132615687	132631591	1	1	1	1	1
chr02	132769442	132839240	3	3	3	3	3
chr02	134987741	134994903	0	1	1	1	0
chr02	137370278	137391722	1	1	1	1	1
chr02	149643879	149731992	2	1	1	1	2
chr02	152975870	152985332	1	1	1	1	1
chr02	156165372	156188968	1	1	1	1	1
chr02	159480351	159486113	1	1	1	1	1
chr02	161595043	161632819	2	2	2	2	1
chr03	959378	970249	1	1	1	1	1
chr03	1038442	1184126	5	5	5	5	5
chr03	1266969	1369374	3	3	3	3	3
chr03	1442017	1457160	1	1	1	1	1
chr03	1580136	1623957	3	2	2	3	2
chr03	3119135	3211642	2	2	1	1	2
chr03	5394300	5511341	3	2	3	1	2
chr03	6754300	6756518	0	1	0	0	0
chr03	7351712	7391038	0	1	1	0	0
chr03	7853051	7869774	1	0	0	0	0
chr03	8617072	8663469	1	1	1	1	1
chr03	9993426	10064745	2	4	0	2	4
chr03	10150323	10428387	6	6	7	6	6
chr03	10565083	10611201	2	2	1	1	2
chr03	10809741	10984250	7	5	5	7	6
chr03	12915447	12948893	2	1	1	1	1
chr03	13792225	13801169	0	1	0	0	0
chr03	15003200	15116350	3	2	3	3	2
chr03	18494700	18504455	1	1	1	1	1
chr03	35758839	35795450	2	1	2	2	2
chr03	46295979	46310087	1	1	0	0	0
chr03	49434829	49457403	1	1	1	1	1
chr03	129790645	129793336	0	0	1	0	0
chr03	130944255	130944449	0	1	0	0	0
chr03	134500564	134512497	1	1	1	1	1
chr03	204110031	204134001	1	0	1	1	1
chr03	204787764	204847027	0	2	0	2	1
chr03	217772491	217777611	0	0	1	0	0
chr03	242497461	242507176	0	1	1	1	0
chr03	248268848	248286873	2	0	2	0	0
chr03	249750768	249772460	2	1	1	2	2
chr03	276890437	276906556	1	0	1	0	0
chr03	278587015	278600551	0	1	0	0	0
chr04	471539	473951	2	2	2	0	0
chr04	771065	801096	3	2	1	1	1
chr04	4451879	4455257	0	0	0	1	0
chr04	7745215	7756483	1	1	1	1	1
chr04	7894523	7895347	0	1	0	0	0
chr04	14465543	14469260	0	0	0	0	1
chr04	15287622	15304938	2	2	2	1	2
chr04	15669344	15692207	1	1	1	1	1
chr04	18346045	18346744	0	0	0	0	1
chr04	20252930	20269427	1	1	1	1	1
chr04	20505570	20513967	1	1	1	1	0
chr04	20725179	20731022	1	2	1	1	1
chr04	44710091	44744305	1	1	1	1	1
chr04	80548636	80636026	5	2	1	1	2
chr04	85234190	85424293	0	1	1	1	1
chr04	100847796	100864204	4	1	2	1	1
chr04	191338404	191483837	4	4	4	4	2
chr04	204977391	205039986	1	1	1	1	1
chr04	218328708	218339079	1	1	1	1	1
chr04	228459351	228530209	3	3	3	3	3
chr04	232076301	232093053	1	1	1	1	1
chr04	239099260	239099877	0	1	0	0	0
chr04	240036792	240049353	3	2	3	2	2
chr05	613194	633098	2	1	1	1	1
chr05	1425463	1461192	4	4	4	4	5
chr05	4275262	4292705	1	1	1	1	1
chr05	5115209	5142216	1	0	1	0	1
chr05	5504422	5529360	2	2	2	2	2
chr05	6778393	6943375	3	3	3	3	4
chr05	7088859	7208439	2	2	2	1	2
chr05	9985515	10017691	1	1	2	2	2
chr05	12982381	13009849	1	1	1	1	1
chr05	18391004	18648907	5	2	5	5	5
chr05	18760727	18824954	1	1	1	1	1
chr05	18943069	19131532	3	2	3	3	2
chr05	21346677	21401025	1	1	1	1	1
chr05	22744390	22746871	0	1	0	0	0
chr05	24686552	24703313	0	0	1	0	0
chr05	25966942	25987884	1	1	1	1	2
chr05	26675572	26714646	1	1	1	1	1
chr05	27290717	27325207	1	1	1	1	1
chr05	29853504	29896080	1	1	2	1	1
chr05	30742205	30756000	1	1	1	1	1
chr05	33023525	33107537	1	1	0	1	1
